"Nombre del solicitante","Rut del solicitante","Correo","Título de la necesidad","Descripción de la necesidad","Categoría","Tipo de entidad","Comuna","Palabras Clave","Objetivos de Desarrollo Sostenible","Imagen"
"Luis Mena","925511298-8","luismena@correo.com","Cambio climático y Proporcionando Soluciones para Necesidades Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Colectiva","Purén","Tiempo*Compartir*Sabiduría","HAMBRE CERO*VIDA SUBMARINA*ACCIÓN POR EL CLIMA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","266477054-6","juanpérez@correo.com","Armonía para Proporcionando Ayuda Urgente","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Religiosa","Saavedra","Amor*Comunicación*Cooperación","PRODUCCIÓN Y CONSUMO RESPONSABLES*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*IGUALDAD DE GÉNERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"María García","394702282-9","maríagarcía@correo.com","Reflejo de la Innovación en afrontando Requerimientos Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Local","Padre las Casas","Transformación*Crecimiento*Conocimiento","PRODUCCIÓN Y CONSUMO RESPONSABLES*VIDA DE ECOSISTEMAS TERRESTRES*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","461855285-0","andrésmartínez@correo.com","Armonía y Apoyo para Necesidades Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Sin Fines de Lucro","Gorbea","Paciencia*Cambio*Espiritualidad","FIN DE LA POBREZA*INDUSTRIA*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","491785498-7","analópez@correo.com","Exploración en Superando Situaciones Cotidianas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Colectiva","Vilcún","Apreciación*Perdón*Desarrollo","TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*EDUCACIÓN DE CALIDAD*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","163197966-1","sofíarodríguez@correo.com","Viaje y Atendiendo Requerimientos Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Sociedad Anónima","Ercilla","Voluntariado*Belleza*Entusiasmo","AGUA Y SANEAMIENTO*VIDA DE ECOSISTEMAS TERRESTRES*CIUDADES Y COMUNIDADES SOSTENIBLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","150858537-8","juanpérez@correo.com","Exploración y Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Sanitaria","Traiguén","Familia*Confianza*Salud","PAZ*AGUA Y SANEAMIENTO*INDUSTRIA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","960425725-5","analópez@correo.com","Armonía en la Cobertura de Demandas Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Regional","Pucón","Sonrisa*Generosidad*Optimismo","SALUD Y BIENESTAR*VIDA SUBMARINA*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Gabriel Gutierrez","860349615-2","gabrielgutierrez@correo.com","Reflejo de la Comunidad en Brindando Respuestas en Necesidad","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Pública","Ercilla","Autoexploración*Innovación*Sonrisa","CIUDADES Y COMUNIDADES SOSTENIBLES*EDUCACIÓN DE CALIDAD*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","184336823-1","michaelroudergue@correo.com","Trabajo en la Satisfacción de Requerimientos Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Multinacional","Teodoro Schmidt","Aprendizaje*Sueños*Gratitud","ACCIÓN POR EL CLIMA*VIDA SUBMARINA*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
